freq_in,ok,n_samples,peak_freq_measured,ratio_measured_to_input,effective_sample_rate_hz,reason
200.0,True,50176,52.295918367346935,0.2614795918367347,4183.673469387755,
300.0,True,50688,299.87373737373736,0.9995791245791246,15993.265993265994,
500.0,True,51200,500.0,1.0,16000.0,
700.0,True,49664,699.742268041237,0.9996318114874815,15994.108983799704,
1000.0,True,48640,999.6710526315791,0.9996710526315791,15994.736842105265,
1500.0,True,50688,1499.6843434343434,0.9997895622895623,15996.632996632996,
2000.0,True,50688,1999.6843434343432,0.9998421717171716,15997.474747474746,
3000.0,True,50176,2999.362244897959,0.9997874149659863,15996.598639455782,
4000.0,True,49664,3999.3556701030925,0.9998389175257731,15997.42268041237,
